temperature,humidity,wind_speed,rainfall,time_of_day,crop_type,disease_type,label
22.8,54.3,5.8,0.0,Evening,Tomato,Target Spot,Good
26.2,50.7,8.6,0.0,Evening,Tomato,Target Spot,Good
24.5,78.8,7.9,0.0,Morning,Tomato,Target Spot,Good
27.6,72.8,6.8,0.0,Morning,Tomato,Target Spot,Good
27.6,53.4,7.4,0.0,Evening,Tomato,Target Spot,Good
28.7,50.3,7.2,0.0,Evening,Tomato,Target Spot,Good
24.3,64.0,8.3,0.0,Evening,Tomato,Target Spot,Good
26.7,66.5,2.8,0.0,Morning,Tomato,Target Spot,Good
21.4,71.3,2.3,0.0,Morning,Tomato,Target Spot,Good
23.1,69.6,7.6,0.0,Evening,Tomato,Target Spot,Good
21.7,56.3,9.1,0.0,Evening,Tomato,Target Spot,Good
28.9,54.5,5.2,0.0,Morning,Tomato,Target Spot,Good
28.1,57.5,8.5,0.0,Morning,Tomato,Target Spot,Good
25.7,50.7,3.7,0.0,Evening,Tomato,Target Spot,Good
26.2,63.7,3.3,0.0,Morning,Tomato,Target Spot,Good
29.3,67.5,9.8,0.0,Evening,Tomato,Target Spot,Good
20.7,78.7,7.8,0.0,Evening,Tomato,Target Spot,Good
23.0,75.9,3.4,0.0,Evening,Tomato,Target Spot,Good
27.6,67.1,2.5,0.0,Evening,Tomato,Target Spot,Good
21.8,63.8,3.7,0.0,Evening,Tomato,Target Spot,Good
29.0,57.3,3.9,0.0,Evening,Tomato,Target Spot,Good
30.6,71.2,9.2,0.0,Morning,Tomato,Target Spot,Good
26.1,54.4,5.8,0.0,Morning,Tomato,Target Spot,Good
21.2,62.9,4.5,0.0,Morning,Tomato,Target Spot,Good
27.4,60.2,7.7,0.0,Evening,Tomato,Target Spot,Good
22.8,62.0,8.6,0.0,Evening,Tomato,Target Spot,Good
22.0,65.6,9.5,0.0,Morning,Tomato,Target Spot,Good
24.8,55.2,7.9,0.0,Morning,Tomato,Target Spot,Good
22.3,71.1,2.8,0.0,Morning,Tomato,Target Spot,Good
30.4,77.8,6.0,0.0,Morning,Tomato,Target Spot,Good
27.4,79.4,3.7,0.0,Evening,Tomato,Target Spot,Good
30.0,58.7,8.7,0.0,Morning,Tomato,Target Spot,Good
22.0,74.4,4.8,0.0,Morning,Tomato,Target Spot,Good
28.8,51.5,6.5,0.0,Morning,Tomato,Target Spot,Good
30.2,52.5,9.3,0.0,Evening,Tomato,Target Spot,Good
28.5,57.8,5.0,0.0,Evening,Tomato,Target Spot,Good
31.8,67.9,3.6,0.0,Evening,Tomato,Target Spot,Good
27.1,50.5,8.0,0.0,Morning,Tomato,Target Spot,Good
26.2,50.6,9.9,0.0,Evening,Tomato,Target Spot,Good
22.9,62.8,7.9,0.0,Evening,Tomato,Target Spot,Good
28.3,54.0,3.5,0.0,Evening,Tomato,Target Spot,Good
29.0,69.1,7.9,0.0,Morning,Tomato,Target Spot,Good
21.4,73.6,9.8,0.0,Evening,Tomato,Target Spot,Good
30.0,74.6,3.7,0.0,Morning,Tomato,Target Spot,Good
31.9,62.2,5.4,0.0,Morning,Tomato,Target Spot,Good
31.7,59.5,9.1,0.0,Morning,Tomato,Target Spot,Good
24.0,77.8,9.8,0.0,Morning,Tomato,Target Spot,Good
